Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
USD,Buying,29.62000,29.97000,29.96400,29.95200,29.93700,29.92500,29.90500,29.88600,29.86400,Selling,30.29000,30.07000,30.07000,30.06300,30.05000,30.03800,30.02600,30.01800,30.01400,
HKD,Buying,3.71600,3.84200,3.84000,3.83600,3.83100,3.82700,3.82100,3.81500,3.81000,Selling,3.92000,3.90200,3.90100,3.89900,3.89400,3.89000,3.88600,3.88200,3.87900,
GBP,Buying,35.79000,36.79000,36.78200,36.76600,36.75200,36.74300,36.72100,36.70000,36.67800,Selling,37.91000,37.21000,37.21100,37.21300,37.20000,37.18900,37.18300,37.17800,37.17300,
AUD,Buying,19.59000,19.86000,19.85500,19.84500,19.83400,19.82600,19.81100,19.79700,19.78200,Selling,20.37000,20.09000,20.08900,20.08700,20.07800,20.07000,20.06400,20.05700,20.05100,
CAD,Buying,21.30000,21.69000,21.68400,21.67100,21.66100,21.67200,21.65000,21.62800,21.60600,Selling,22.21000,21.91000,21.91100,21.91200,21.90100,21.91900,21.90500,21.89100,21.87700,
SGD,Buying,20.68000,21.17000,21.16500,21.15400,21.14400,21.13900,21.12800,21.11700,21.10600,Selling,21.59000,21.35000,21.35100,21.35200,21.34500,21.34200,21.34000,21.33700,21.33500,
CHF,Buying,30.37000,31.03000,31.02900,31.02800,31.03900,31.05500,31.05900,31.06400,31.06900,Selling,31.57000,31.32000,31.33000,31.34900,31.36400,31.38200,31.40600,31.42900,31.45300,
JPY,Buying,0.27080,0.27810,0.27810,0.27800,0.27800,0.27800,0.27800,0.27800,0.27790,Selling,0.28360,0.28210,0.28210,0.28220,0.28220,0.28220,0.28230,0.28240,0.28250,
ZAR,Buying,0.00000,1.66900,1.66700,1.66200,1.65600,1.65000,1.64400,1.63800,1.63200,Selling,0.00000,1.74900,1.74700,1.74400,1.73800,1.73200,1.72700,1.72200,1.71700,
SEK,Buying,2.79000,3.13000,3.12900,3.12700,3.12600,3.12600,3.12400,3.12200,3.12100,Selling,3.31000,3.23000,3.23100,3.23200,3.23200,3.23200,3.23200,3.23200,3.23200,
NZD,Buying,18.16000,18.54000,18.53300,18.51900,18.50600,18.49400,18.47700,18.46000,18.44300,Selling,19.01000,18.74000,18.74000,18.74000,18.72800,18.71700,18.70900,18.70100,18.69200,
THB,Buying,0.81610,0.92850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,1.00610,0.96850,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,Buying,0.52090,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.65390,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,Buying,0.00173,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00243,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,Buying,32.52000,33.14000,33.13800,33.13400,33.13800,33.14600,33.14400,33.14200,33.14000,Selling,33.86000,33.54000,33.54700,33.56200,33.57100,33.58000,33.59700,33.61400,33.63000,
KRW,Buying,0.02255,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.02645,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,Buying,0.00091,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,0.00141,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,Buying,5.78800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,Selling,7.41300,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,Buying,4.09200,4.16400,4.16020,4.15270,4.14280,4.13480,4.12640,4.11810,4.10980,Selling,4.25400,4.21400,4.21150,4.20640,4.19900,4.19240,4.18720,4.18200,4.17680,
